image,histogram,distanceHistogram,zigZagDistanceHistogram
0003-3157556-152-13.png,0.4324,1.1075,1.0459
0003-3157556-1669-21.png,0.2193,0.6495,0.6573
0003-3157556-1671-21.png,0.2237,0.6639,0.6704
0003-3157556-1675-21.png,0.214,0.6145,0.5816
0003-3157556-1682-21.png,0.3338,0.7652,0.7773
0003-3157556-178-6.png,0.3947,0.8819,0.8852
0003-3157556-274-17.png,0.4582,1.0613,1.0097
0003-3157556-275-17.png,0.5121,1.0019,0.9915
0003-3157556-308-3.png,0.5651,1.1654,1.1904
0003-3157556-374-8.png,0.2564,0.7076,0.7591
0003-3157556-383-4.png,0.5529,1.0774,1.0634
0003-3157556-444-9.png,0.213,0.7605,0.7413
0003-3157556-445-9.png,0.169,0.7469,0.7169
0003-3157556-976-19.png,0.1939,0.8035,0.7546
0004-3157556-1001-21.png,0.3427,0.7472,0.7475
0004-3157556-1007-21.png,0.2291,0.6965,0.6768
0004-3157556-1008-21.png,0.2156,0.6451,0.6248
0004-3157556-1016-21.png,0.3646,0.804,0.8324
0004-3157556-128-15.png,0.5436,1.1439,1.0933
0004-3157556-131-16.png,0.3265,0.8114,0.8231
0004-3157556-170-17.png,0.4052,0.8678,0.857
0004-3157556-1737-21.png,0.4333,0.8605,0.8688
0004-3157556-176-18.png,0.4426,0.914,0.913
0004-3157556-209-1.png,0.1755,0.4703,0.4723
0004-3157556-211-1.png,0.2021,0.5248,0.5406
0004-3157556-2561-2.png,1.1032,1.6547,1.5973
0004-3157556-320-18.png,0.2754,0.6927,0.689
0004-3157556-383-11.png,0.4429,0.9525,0.9138
0004-3157556-390-18.png,0.4161,0.9323,0.9437
0004-3157556-465-9.png,0.1977,0.7602,0.725
0004-3157556-466-9.png,0.1663,0.7097,0.6788
0004-3157556-497-19.png,0.3437,0.9973,0.9473
0004-3157556-498-19.png,0.2538,0.7316,0.7229
0004-3157556-503-19.png,0.369,1.0455,0.9853
0004-3157556-83-15.png,0.5653,1.1581,1.1066
0004-3157556-88-10.png,0.2627,0.932,0.9055
0004-3157556-92-5.png,0.304,0.8672,0.8288
0004-3157556-96-20 .png,0.2102,0.5175,0.5332
0004-3426930-1-5.png,0.2625,0.8049,0.7901
0004-3426930-2-12.png,0.3926,1.0029,0.9893
0005-3157556-105-6.png,0.3594,0.7087,0.7113
0005-3157556-106-6.png,0.3357,0.6889,0.6874
0005-3157556-107-10.png,1.0004,1.5045,1.4815
0005-3157556-139-1.png,0.2388,0.4988,0.5143
0005-3157556-142-1.png,0.1567,0.3895,0.3944
0005-3157556-1594-2.png,0.8533,1.4017,1.3719
0005-3157556-174-17.png,0.695,1.0398,1.0597
0005-3157556-189-18.png,0.5897,1.0037,0.998
0005-3157556-192-11.png,0.6226,0.9781,0.989
0005-3157556-193-11.png,0.6906,1.1627,1.152
0005-3157556-195-11.png,0.7401,1.1505,1.1505
0005-3157556-195-18.png,0.5356,0.9285,0.9324
0005-3157556-203-3.png,0.379,0.7366,0.7286
0005-3157556-211-11.png,1.1337,1.5732,1.572
0005-3157556-213-3.png,0.8716,1.3382,1.3393
