image,histogram,distanceHistogram,zigZagDistanceHistogram
0003-3157556-152-13.png,0.643,1.2252,1.1786
0003-3157556-1669-21.png,0.1381,0.5468,0.5059
0003-3157556-1671-21.png,0.2035,0.5913,0.5476
0003-3157556-1675-21.png,0.1298,0.5418,0.4986
0003-3157556-1682-21.png,0.2358,0.6041,0.5979
0003-3157556-178-6.png,0.213,0.6111,0.5941
0003-3157556-274-17.png,0.6126,1.0865,1.0617
0003-3157556-275-17.png,0.6438,1.0862,1.0843
0003-3157556-308-3.png,0.3948,0.9913,0.9827
0003-3157556-374-8.png,0.2584,0.7301,0.7292
0003-3157556-383-4.png,0.9523,1.3972,1.4331
0003-3157556-444-9.png,0.1577,0.6599,0.6246
0003-3157556-445-9.png,0.1367,0.6275,0.5743
0003-3157556-976-19.png,0.3396,0.944,0.8999
0004-3157556-1001-21.png,0.2385,0.6036,0.58
0004-3157556-1007-21.png,0.1661,0.5202,0.4833
0004-3157556-1008-21.png,0.2063,0.5727,0.5501
0004-3157556-1016-21.png,0.1981,0.5772,0.5595
0004-3157556-128-15.png,0.7991,1.2584,1.2196
0004-3157556-131-16.png,0.3485,0.8459,0.8371
0004-3157556-170-17.png,0.5576,0.9068,0.8982
0004-3157556-1737-21.png,0.2602,0.6168,0.598
0004-3157556-176-18.png,0.2642,0.7209,0.6763
0004-3157556-209-1.png,0.3346,0.6709,0.6942
0004-3157556-211-1.png,0.3205,0.6594,0.6659
0004-3157556-2561-2.png,1.4488,1.8517,1.8419
0004-3157556-320-18.png,0.1984,0.5384,0.5188
0004-3157556-383-11.png,0.5985,1.0343,1.0397
0004-3157556-390-18.png,0.2388,0.6922,0.6512
0004-3157556-465-9.png,0.3039,0.7952,0.7728
0004-3157556-466-9.png,0.2541,0.7504,0.7387
0004-3157556-497-19.png,0.5307,1.0887,1.0622
0004-3157556-498-19.png,0.5101,0.9925,0.9863
0004-3157556-503-19.png,0.5623,1.1126,1.0536
0004-3157556-83-15.png,0.6867,1.2005,1.1761
0004-3157556-88-10.png,0.3378,0.8193,0.8283
0004-3157556-92-5.png,0.3914,0.8981,0.8742
0004-3157556-96-20 .png,0.4091,0.8212,0.8269
0004-3426930-1-5.png,0.4595,0.966,0.9583
0004-3426930-2-12.png,0.2535,0.7862,0.7492
0005-3157556-105-6.png,0.2705,0.6708,0.6617
0005-3157556-106-6.png,0.2138,0.5811,0.5543
0005-3157556-107-10.png,0.8354,1.3796,1.3252
0005-3157556-139-1.png,0.1333,0.3109,0.3045
0005-3157556-142-1.png,0.0574,0.2358,0.2201
